Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0xb03aeac789533514c7df885e0d930d5eecb400ec,59807793289965339302840,43885234824320973264934,18433179723502304147465,0,0,0
0x67c42dc01ef85f278bd0fed66d5b49413649ad8d,56561706677076505910270,56561706677076505910270,0,0,0,0
0x659418bbb855c18f9253acbccc20b40051fee6b2,55861446851932179725931,55861446851932179725931,0,0,0,0
0xf14b1a6098036cb4f3d867b0145785f98c998988,54661727125180911779083,54661727125180911779083,0,0,0,0
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,53363654786957513617552,24857208768054194303055,27649769585253456221198,0,0,0
0x26e547a9f3fd90e49a9a85a91001ca3f7ba2c81d,51593977093424639943642,23729499778546999377306,27649769585253456221198,0,0,0
0xec0297f0a72286c92e826e3b55bd61ad31986dfe,50782968114339418197757,22918490799461777631421,27649769585253456221198,0,0,0
0xeea1cba569adfb4a4d12f65f2987e8c89c05a1e5,50633367140405308119028,50633367140405308119028,0,0,0,0
0x90d26c3805030a05c7fdd89326a4a2a99cbade31,50467816412263489712674,50467816412263489712674,0,0,0,0
0xec4f600564fc13720b7fd9512cbb5128e27ab67c,50281493952451472987145,50281493952451472987145,0,0,0,0
0x365bd827c68d5de0e2bfa5871dc0ecaaf074d5ab,50226258650956103467973,50226258650956103467973,0,0,0,0
0x185c4206eb32949af2a9faf3aab8edc81e84b73a,49857360105062786513457,49857360105062786513457,0,0,0,0
0x8b85e47d939dd97e1c873c65e7a8c7925d8cf184,49509347490581105657849,49409540450857903848015,0,0,0,0
0x24d19f100ba142543a863fc2294b188e35ab55b9,48755112202715489069562,48755112202715489069562,0,0,0,0
0xcb4755ea7c0c05b6041c2a58f07bd922a37401fd,47986181366583287364834,47986181366583287364834,0,0,0,0
0xd000fa10efcdc734af5e4e3433ce0e75f220549d,47611313997372288930141,47611313997372288930141,0,0,0,0
0x270042a7623a90e6ebe6ae6e3263d61896b46906,47413706729818694523571,47313899690095492713737,0,0,0,0
0x169efe5ffa1011fd90ee8438785e49066ed8ed31,45846487871342940504406,17982010556465299938070,27649769585253456221198,0,0,0
0x7cb71635162db9282554d7a9b808e8dea2bf55cb,44667326662286982998852,42320629158473905570456,0,0,0,0
0xd783947ce4924147f35b319bd247ee628e7fb0be,44590920756942119338540,16726443442064478772204,27649769585253456221198,0,0,0
0xe58ce76deb798fd45fc4ecfb9a49f406e7ffc948,44553634242780135255741,44553634242780135255741,0,0,0,0
